angle(rad); distance 
0.000000; 133.033829
0.015708; 133.003754
0.031416; 133.003754
0.047124; 133.033829
0.062832; 133.093948
0.078540; 133.184082
0.094248; 133.304169
0.109956; 133.454117
0.125664; 133.633835
0.141372; 133.843185
0.157080; 134.212524
0.172787; 134.495346
0.188495; 134.807266
0.204203; 135.148071
0.219911; 135.517532
0.235619; 135.915421
0.251327; 136.341476
0.267035; 137.032837
0.282743; 137.528183
0.298451; 138.050720
0.314159; 138.600143
0.329867; 139.176147
0.345575; 140.089264
0.361283; 140.730240
0.376991; 141.739197
0.392699; 142.442978
0.408407; 143.171219
0.424115; 144.308701
0.439823; 145.096527
0.455531; 146.321564
0.471239; 147.166565
0.486946; 148.475586
0.502654; 149.375366
0.518362; 150.764725
0.534070; 152.200531
0.549778; 153.182892
0.565486; 155.206314
0.581194; 156.246597
0.596902; 157.841690
0.612610; 159.477264
0.628318; 161.718887
0.644026; 162.864975
0.659734; 165.205933
0.675442; 167.002991
0.691150; 169.452057
0.706858; 171.327179
0.722566; 173.233948
0.738274; 175.823776
0.753982; 178.465683
0.769690; 178.331146
0.785398; 175.413803
0.801105; 172.539856
0.816813; 169.711517
0.832521; 166.931122
0.848229; 164.878738
0.863937; 162.855759
0.879645; 161.616837
0.895353; 158.256119
0.911061; 156.339371
0.926769; 154.457108
0.942477; 154.012985
0.958185; 152.200531
0.973893; 150.426056
0.989601; 148.690948
1.005309; 146.996597
1.021017; 144.506058
1.036725; 142.888062
1.052433; 142.688477
1.068141; 141.661575
1.083849; 140.160629
1.099557; 137.829605
1.115265; 137.767914
1.130972; 135.506454
1.146680; 135.517532
1.162388; 133.753510
1.178096; 133.824509
1.193804; 131.700424
1.209512; 131.848404
1.225220; 130.172958
1.240928; 130.384048
1.256636; 129.356094
1.272344; 129.027130
1.288052; 128.082001
1.303760; 127.487251
1.319468; 126.921234
1.335176; 126.384331
1.350884; 125.876923
1.366592; 125.399361
1.382300; 124.951988
1.398008; 124.535133
1.413716; 124.149101
1.429423; 123.794182
1.445131; 123.470642
1.460839; 123.178734
1.476547; 122.918671
1.492255; 122.690666
1.507963; 122.494896
1.523671; 122.331520
1.539379; 122.200653
1.555087; 122.102417
1.570795; 122.036880
1.586503; 122.004097
1.602211; 122.004097
1.617919; 121.037186
1.633627; 122.102417
1.649335; 122.200653
1.665043; 122.331520
1.680751; 121.498970
1.696459; 122.690666
1.712167; 122.918671
1.727875; 122.188377
1.743582; 123.470642
1.759290; 123.794182
1.774998; 124.149101
1.790706; 124.535133
1.806414; 123.975807
1.822122; 125.399361
1.837830; 124.907967
1.853538; 125.419296
1.869246; 127.200630
1.884954; 126.530632
1.900662; 128.390030
1.916370; 128.082001
1.932078; 129.691940
1.947786; 129.448837
1.963494; 131.472427
1.979202; 131.308792
1.994910; 133.015030
2.010618; 134.238586
2.026326; 135.085159
2.042034; 136.400146
2.057742; 137.306229
2.073449; 138.708328
2.089157; 139.671036
2.104865; 141.155945
2.120573; 142.688477
2.136281; 143.735870
2.151989; 145.344421
2.167697; 146.996597
2.183405; 147.299011
2.199113; 150.426056
2.214821; 152.200531
2.230529; 154.012985
2.246237; 155.862122
2.261945; 157.746628
2.277653; 160.312195
2.293361; 160.863297
2.309069; 164.939377
2.324777; 165.559662
2.340485; 169.729202
2.356193; 172.534058
2.371901; 173.971268
2.387609; 171.213318
2.403316; 168.505188
2.419024; 165.849335
2.434732; 163.893265
2.450440; 161.969131
2.466148; 160.078110
2.481856; 157.610275
2.497564; 155.801163
2.513272; 154.029221
2.528980; 152.295761
2.544688; 150.602127
